text,intent,lang
"Estoy muy molesto, el servicio fue pesimo",reclamo,es
"listo, hasta pronto hola",despedida,es
"Alright, see you soon hi",despedida,en
necesito una cita medica de ginecologia pa esta semana,agendar_cita_medica,es
do you have availability for a gynecology appointment? hi ✈️,agendar_cita_medica,en
cuando llega mi pedido de la television? gracias,seguimiento_pedido,es
"la impresora q compre no funciona, exjio solucion",reclamo,es
The system gives me an error loadiing the page,soporte_tecnico,en
deseo presentar una queja formal por mi pedido 🍕,reclamo,es
Preciso de uma consulta de ortopedia esta semana 👍,agendar_cita_medica,pt
M cuenta de la app no funciona,soporte_tecnico,es
Hey hola,saludo,es
"quiero un reembolso, el teclado vino defectoso 🍕",reclamo,es
"ok gracias, bye",despedida,es
i want to submit a formal ocmplaint about my order,reclamo,en
que medicina puedo tomar para dolor de estomaog?,consultar_medicina,es
cuanto cuesta una habitacion doble en quito?,reservar_hotel,es
Cuanto cuesta una habitacion doble en Bogota?,reservar_hotel,es
es seguro tomar omeprazol para gripe?,consultar_medicina,es
hay disponibilidad en un hotel cerca del ceentro pa el viernes? 🏨,reservar_hotel,es
id like to book a flight with latam to bogota,comprar_vuelo,en
"Perfeecto, nos vemos urgente",despedida,es
"boa tarde, como vao? por favor",saludo,pt
are there flights to panama city on saturday?,comprar_vuelo,en
Is it safe to take ibuprofen for back pain?,consultar_medicina,en
"hey, good evening",saludo,en
"saludos, buenos dias a todos por favor",saludo,es
Mi pedido nunca llego y quiero reclamar 😀,reclamo,es
"Perfecto, nos vemos hola",despedida,es
Heey hola por favor,saludo,es
Im looking for cheap flights to Miami,comprar_vuelo,en
Preciso do status od meu envio,seguimiento_pedido,pt
"Quisiera abrir una SRL, por donde empiezo?",constituir_empresa,es
"os tenis que comprei nao funciona, exijo solucao 🙌",reclamo,pt
"quiero poner un reclamo, la television llego danado graacias",reclamo,es
el loratadina sirve para gripe?,consultar_medicina,es
"ok thank you, bye",despedida,en
me cobraron de mas y quiero un reclamo porfa,reclamo,es
"quiero un reembolso, la impresora vino defectuoso urgente",reclamo,es
i need a hostel for 3 nights in new york please,reservar_hotel,en
Cuanto cuesta la pizza de peperoni familiar?,comprar_pizza,es
no me llega el codigo de verificacion,soporte_tecnico,es
My account is not working asap,soporte_tecnico,en
"o fone que comprrei nao funciona, exijo solucao",reclamo,pt
"Tengo nauseas desde ayer, que hago? hola",consultar_medicina,es
Cuantas veces al dia debo tomar omeprazol?,consultar_medicina,es
Necesito una cita medica de ginecologia para esta semana 🙌,agendar_cita_medica,es
"muy amable, que tenga buen dia",despedida,es
"My package hasnt arrived yet, where is it?",seguimiento_pedido,en
"Mi pedido dice n camino hace 3 dias, q paso? porfa",seguimiento_pedido,es
tienen habitaciones disponibles en trujillo para el finde?,reservar_hotel,es
Gostaria de uma pizza margherita,comprar_pizza,pt
cuanto cuesta una consulta de odontologia? gracias,agendar_cita_medica,es
me pueden asesorar para constituir mi startup en cusco?,constituir_empresa,es
"gracias, hasta la proxima hola",despedida,es
Cuanto demora registrar una EIRL? urgente,constituir_empresa,es
quiero agendar una cita con odontologia,agendar_cita_medica,es
cuanto cuesta un pasaje a medellin con sky?,comprar_vuelo,es
Quisiera reservar una cita de dermatologia en Santiago,agendar_cita_medica,es
cuantas veces al dia debo tomar loratadina?,consultar_medicina,es
busco un resort economico en santiago,reservar_hotel,es
"i want to pay my card, how much do i owe?",consulta_banca,en
"hola, uenos dias 🏨",saludo,es
I need this months account statement,consulta_banca,en
"El producto llego roto, quiero mi devolucion",reclamo,es
ok gracias bye,despedida,es
preciso de um voo ida e volta para rio de janeiro,comprar_vuelo,pt
tienen pizza cuatro quesos? quiero pedir una hola,comprar_pizza,es
no puedo iniciar sesion en la aplicacion porfa,soporte_tecnico,es
"Mi pedido dice en camino hace 3 dias, que paso?",seguimiento_pedido,es
how much is a dermatoloyg consultation? 😀,consultar_medicina,en
cuanto demora registrar mi negocio? gracias,constituir_empresa,es
quato custa uma consulta de ginecologia? por favor,consultar_medicina,pt
me manda una pizzza hawaiana a santiago?,comprar_pizza,es
Dond esta mi pedido?,seguimiento_pedido,es
Qual e o saldo da minha conta?,consulta_banca,pt
mi ccuenta no funciona,consulta_banca,es
My account is not working,consulta_banca,en
donde esta mi ppedido?,seguimiento_pedido,es
"nos vemos, cuidate",despedida,es
necesito unna consulta de traumatologia,agendar_cita_medica,es
quiero saber el limite d mi tarjeta urgente,consulta_banca,es
"hello, how is it going? 👍",saludo,en
how much is a dentistry consultation?,agendar_cita_medica,en
cuanto cuesta una habitacion doble en cusco?,reservar_hotel,es
"mi cuenta no me deja hacer pagos, que pasa? por favor",consulta_banca,es
Tienen pizza napolitana? quiero pedir nua,comprar_pizza,es
"Buenas, hay alguien?",saludo,es
quiero saber el limite de mi tarjeta 🙌,consulta_banca,es
que documentos piden para constituir un sac?,constituir_empresa,es
"La applicacion esta muy lenta, no carga",soporte_tecnico,es
Ya pague pero no se cuando llega mi pedido porfa 🙌,seguimiento_pedido,es
hay disponibilidad en un hotel cerca del centro pa el viernes?,reservar_hotel,es
me pueden dar el tracking de mi orden?,seguimiento_pedido,es
"Me antojo una napolitana, tienen promo?",comprar_pizza,es
"Quisiera abrir mi startup, por donde empiezo?",constituir_empresa,es
quanto custa uma consulta de dermatologia?,consultar_medicina,pt
"eso seria todo, gracias y chau hola",despedida,es
como rgeistro una empresa de servicios en lima? 👍,constituir_empresa,es
Mi cuenta esta bloqueadaa 🙌,consulta_banca,es
"estou muito irritado, o servico foi pessimo",reclamo,pt
"consulta de odontologia, cuanto seria?",consultar_medicina,es
quisiera reservar una cita de cardiologia en cusco,agendar_cita_medica,es
Can u give me the tracking for my order?,seguimiento_pedido,en
Tienen disponibilidad para una consulta de pediatria? ✈️,agendar_cita_medica,es
is it safe to take aspirin forr back pain? asap,consultar_medicina,en
I need the status of my shipment please,seguimiento_pedido,en
where is my order? ✈️,seguimiento_pedido,en
"i want to pay my cad, how much do i owe?",consulta_banca,en
"Thank you, have a nice day",despedida,en
"Quiero un reembolso, la television vino defectuoso",reclamo,es
"listo, hasta pronto por favor",despedida,es
I want to check my account transactions,consulta_banca,en
Cuanto cuesta un pasaje a Quito con Copa?,comprar_vuelo,es
Me reservan una habitacion en Santiago del 10 al 15?,reservar_hotel,es
"Nos vemos, cuidate 😊",despedida,es
quisiera reservar una cita de cardiologia en medellin,agendar_cita_medica,es
quero consultar os movimentos da minha conta,consulta_banca,pt
I owuld like two margherita pizzas,comprar_pizza,en
como registro una srl en medellin? hola,constituir_empresa,es
"listo, hasta prono gracias",despedida,es
quiero consultar los movimientos dde mi cuenta,consulta_banca,es
necesitoo el estado de cuenta de este mes,consulta_banca,es
El ibuprofeno sirve para dolor de espalda? por favor,consultar_medicina,es
"gracias x la ayuda, adios",despedida,es
"Mi cuenta no me deja hacer pagos, que pasa?",consulta_banca,es
quiero reservar un hostal en arequipa,reservar_hotel,es
necesito un vuelo ida y vuelta a cusco,comprar_vuelo,es
mi pedido nunca llego y quiero reclamar,reclamo,es
donde esta mi pedido?,seguimiento_pedido,es
"necesito ver a un especialista en cardiologia, hay citas?",agendar_cita_medica,es
No puedo entrar a mi cuenta hola,soporte_tecnico,es
"Hola, como va todo? ❤️",saludo,es
I cant access my account,consulta_banca,en
La app se cierra sola cada vez q la abro,soporte_tecnico,es
"obrigado ppela ajuda, adeus obrigado",despedida,pt
how do i register an llc in panama city?,constituir_empresa,en
Quiero formalizar mi negocio y sacar RUC para una SAC,constituir_empresa,es
Quiisera reservar un vuelo con LATAM a Medellin urgente,comprar_vuelo,es
a que hora atienden en pedaitria? quiero sacar cita urgente,agendar_cita_medica,es
"No puedo actualizar la app, me sale error urgente",soporte_tecnico,es
"obrigado, at logo",despedida,pt
quiero formalizar mi negocio y sacar ruc para mi negocio,constituir_empresa,es
cuanto cuesta crear una srl?,constituir_empresa,es
me pueden asesorar pa constituir mi startup en trujillo? 🙌,constituir_empresa,es
mi cuenta de la app no funciona urgente,soporte_tecnico,es
o sistema da erro ao carregar a pagina por favor,soporte_tecnico,pt
"me duele mucho, tengo dolor de espalda, que medicamento tomo?",consultar_medicina,es
"Quiero un reembolso, el teclado vino defectuoso 😀",reclamo,es
me cobraron de mas y quiero un reclamo 👍,reclamo,es
quiero reservar un hostall en santiago,reservar_hotel,es
cuanto cuesta un pasaje  piura con avianca?,comprar_vuelo,es
"Hello, how is it going?",saludo,en
hay vuelos a cusco praa el sabado? por favor,comprar_vuelo,es
is there availability at a boutique hotel 4 fridayy?,reservar_hotel,en
"estoy muy molesto, el servicio fue pesimo hola",reclamo,es
nao recbeo o codigo de verificacao,soporte_tecnico,pt
El boton de pago no responde en la web,soporte_tecnico,es
what is the balance of my account? thanks,consulta_banca,en
precios de um voo ida e volta para lima ✈️,comprar_vuelo,pt
I need a round trip flight to Sao Paulo,comprar_vuelo,en
Haganme delivery de una pizza hawaiana porfa,comprar_pizza,es
Que puedo tomar si tengo dolor de espalda?,consultar_medicina,es
"Nos vems, cuidate gracias",despedida,es
i was overcharged and i want to complain 🏨,reclamo,en
que documentos piden para constituir mi negocio?,constituir_empresa,es
Tienen pizza napolitana? quiero pedirr una 🏨,comprar_pizza,es
Mi pedido nunca llego y quiero reclamar gracias,reclamo,es
el boton de pago no responde en la web 🙏,soporte_tecnico,es
cuanto cuesta un pasaje a arequipa ocn jetsmart?,comprar_vuelo,es
"hola, como va todo? hola",saludo,es
"the tv I bought doesnt work, I demand a solution 🍕",reclamo,en
does aspirin help with a sore throat? please 🙌,consultar_medicina,en
quiero reservar un hotel 4 estrellas en piura por favor,reservar_hotel,es
I was overcharged and I want to complain,reclamo,en
"Boa tarde, cmoo vao?",saludo,pt
"i want to set up a small business, what do i need? thanks",constituir_empresa,en
Quiero una consulta de cardiologia para mi hijo,agendar_cita_medica,es
my account is blocked,soporte_tecnico,en
mi cuenta me da error,soporte_tecnico,es
"os tenis que comprei nao funciona, exijo solucao",reclamo,pt
hay disponibilidad en un resort para el viernes? urgente,reservar_hotel,es
Quiero rastrear mi orden numero 4821 🙏,seguimiento_pedido,es
"buenas tardes, como esttan? hola",saludo,es
me pueden dar hora con el doctor de oftalmologia?,agendar_cita_medica,es
can you hhelp me start an llc?,constituir_empresa,en
"thank you, have a nice day",despedida,en
Me consigues un pasaje a Cusco pa manana?,comprar_vuelo,es
"Mi paquete aun no llega, donde esta? hola",seguimiento_pedido,es
Quiero una consulta de cardiologia para mi hijo,consultar_medicina,es
how many times a day should i take aspirin?,consultar_medicina,en
"gracias, hasta lueo",despedida,es
No puedo etnrar a mi cuenta,soporte_tecnico,es
Ya pague pero no se cuando llega mi ppedido,seguimiento_pedido,es
How much is a large four cheese pizza?,comprar_pizza,en
deeso agendar control con cardiologia para el lunes 👍,agendar_cita_medica,es
"el producto llego roto, quiero mi devolucion gracias",reclamo,es
tienen disponibilidad pa nua consulta de cardiologia?,agendar_cita_medica,es
deseo comprar dos boletos a iura,comprar_vuelo,es
"Thanks, see you later",despedida,en
Tienen habitaciones disponibles en Santiago para el finde?,reservar_hotel,es
Quiero saber el limite de mi tarjeta,consulta_banca,es
"Pesimo servicio, quiero hablar con un supervisor por favor",reclamo,es
"mi pedido dice en camino hace 3 dias, que paso?",seguimiento_pedido,es
"Quiero un reembolso, el celular vino defectuoso",reclamo,es
mi cuenta de la app no funciona 😀,soporte_tecnico,es
"Hola, buenos dias urgente",saludo,es
"Hola, buenas noches",saludo,es
Cuanto cuesta crear mi startup?,constituir_empresa,es
Cuando lleag mi pedido de la television?,seguimiento_pedido,es
cuanto cuesta crear una srl? urgente,constituir_empresa,es
cuanto cuesta crear mi negocio? gracias 😊,constituir_empresa,es
Gostaria de reservar um voo com Gol para Lima obrigado,comprar_vuelo,pt
meu pedido nunca chegou e quero reclamar,reclamo,pt
quiero comprar un vuelo a santiago,comprar_vuelo,es
"quiero constituir mi startup, que tramites necesito?",constituir_empresa,es
"quiero poner un reclamo, el celular llego dañado 😀",reclamo,es
"I wold like to open a startup, where do I begin?",constituir_empresa,en
como registro mi startup en cusco?,constituir_empresa,es
Busco vuelos baratos a Arequipa,comprar_vuelo,es
el sistema me da error al cargar la pagina hola 🍕,soporte_tecnico,es
qisiera ordenar dos pizzas criolla ❤️,comprar_pizza,es
quiero agendar una cita con dermatologia,agendar_cita_medica,es
Quanto custa uma consulta de cardioologia?,agendar_cita_medica,pt
necesito una consulta de oftalmologia,consultar_medicina,es
hay vuelos a trujillo para el sabado? 😊,comprar_vuelo,es
me manda una pizza de peperoni a medellin? hola,comprar_pizza,es
cuanto demora registrar una srl? hola,constituir_empresa,es
quero comprar uma passagem para bogota,comprar_vuelo,pt
Mi cuenta me da error,soporte_tecnico,es
quero rastrear meu pedido numero 4821,seguimiento_pedido,pt
que dosis de naproxeno deb tomar?,consultar_medicina,es
Tienen habitaciones disponibles en Bogota para el finde? hola,reservar_hotel,es
Mi cuenta de la app no funciona 😊,soporte_tecnico,es
Cotizame un vuelo a Medellin en Copa,comprar_vuelo,es
cuanto cuesta crear una eirl? por favor,constituir_empresa,es
I cant transfer money from my account 😀,consulta_banca,en
Deseo inscribir una EIRL en registros publicos urgente,constituir_empresa,es
boa noite,saludo,pt
"obrigado, ate logo",despedida,pt
Busco un hotel cerca del centro economico en Piura gracias,reservar_hotel,es
me reservan una habitacion en quito del 10 al 15?,reservar_hotel,es
What documents are required 2 register an LLC?,constituir_empresa,en
olvide mi contrasnea y no puedo recuperarla,soporte_tecnico,es
can you help me start a company?,constituir_empresa,en
necesito el estado de mi envio urgente,seguimiento_pedido,es
Dondde esta mi pedido? gracias,seguimiento_pedido,es
No puedo transferir dinero desde mi cuenta,consulta_banca,es
Can I get a pepperoni pizza with extra cheese?,comprar_pizza,en
I want to schedule an appointment with dermatology,agendar_cita_medica,en
"tengo dolor de espalda, que me recomiendan? ❤️",consultar_medicina,es
can you deliver a pepperoni pizza to cancun?,comprar_pizza,en
when does my the laptop order arrive? hi 🍕,seguimiento_pedido,en
"gracais por la ayuda, adios 🙌",despedida,es
"gracias por la ayuda, adios urgente 🏨",despedida,es
deseo comprar dos boletos a piura 🍕,comprar_vuelo,es
necesito le estado de cuenta de este mes 😀,consulta_banca,es
Cuanto cuesta la pizza cuatro quesos familiar?,comprar_pizza,es
necesito un hostal para 3 noches en arequipa 👍,reservar_hotel,es
quiero pedir una pizza vegetariana por favor,comprar_pizza,es
mi pedido nunca llego y quiero reclamar 🏨,reclamo,es
cuanto cuesta un pasaje a santiago con copa?,comprar_vuelo,es
Necesito el estado de cuenta de este mes,consulta_banca,es
do you have availability for a gynecology appointment?,agendar_cita_medica,en
Hola que tal ✈️,saludo,es
Como registro una SAC en Lima? porfa,constituir_empresa,es
preciso do status do meu envio,seguimiento_pedido,pt
"hola, buenas noches 😀",saludo,es
id like a pepperoni pizza for pickup,comprar_pizza,en
Quisiera hacer una reserva en un hotel 4 estrellas gracias,reservar_hotel,es
what medicine can i takke for the flu?,consultar_medicina,en
Me consigues un pasaje a Bogota pa manana? 😀,comprar_vuelo,es
"quiero un reembolso, el teclado vino defectuoso por favor",reclamo,es
i cant access my account thanks,consulta_banca,en
no puedo acceder a mi cuenta por favor,soporte_tecnico,es
Necesito una cita medica de cardiologia para esta semana,agendar_cita_medica,es
Me pueden asessorar pa constituir una SAC en Arequipa? ✈️,constituir_empresa,es
i need a hostel for 3 nights in panama city 🍕,reservar_hotel,en
"Buenas, unn gusto saludarlos 🍕",saludo,es
no puedo iniciar sesion en la aplicacion,soporte_tecnico,es
Are there flights to New York on saturday? 🙌,comprar_vuelo,en
how much is a ticket to panama city with copa?,comprar_vuelo,en
hay velos a piura para el sabado? 😊,comprar_vuelo,es
necesito el estado de mi envio,seguimiento_pedido,es
A que hora atienden en ginnecologia? quiero sacar cita,agendar_cita_medica,es
mi cuenta me da error urgente,consulta_banca,es
hey hola 🏨,saludo,es
Quiero comprar un vuelo a Csuco,comprar_vuelo,es
Deseo una pizza vegetariana grande con extra queso,comprar_pizza,es
no me llega el cdigo de verificacion 🍕,soporte_tecnico,es
I need a pediatrics consultation,agendar_cita_medica,en
"hola,, buenos dias",saludo,es
"o celular que comprei nao funciona, exijo solucao obrigado",reclamo,pt
"La aplicacion esta muyy lenta, no carga",soporte_tecnico,es
el sistema me da error al cargar la pagina,soporte_tecnico,es
Cuando llega mi pedido dee el celular?,seguimiento_pedido,es
No puedo transferir dinero desde mi cuenta urgente,consulta_banca,es
i need a cardiology appointment this week,agendar_cita_medica,en
La app se cierra sola cada vez que la abro,soporte_tecnico,es
"Quiero un reembolso, las zapatillas vino defectuoso por favor",reclamo,es
"Nos vemos, cuidate",despedida,es
"tengo dolor de garganta, q me recomiendan?",consultar_medicina,es
"Mi cuenta no me deja hacer pagos, que pasa? por favor",consulta_banca,es
quiero saber el limite de mi tarjeta 🍕,consulta_banca,es
no me llega el codigo de verificacion 👍,soporte_tecnico,es
quiero consultar los movimientos de mi cuenta 🏨,consulta_banca,es
nao recebo o codigo de verificacao obrigado,soporte_tecnico,pt
hay vuelos a piura para el sabado?,comprar_vuelo,es
que documentos piden para constituir una empresa de servicios?,constituir_empresa,es
No puedo entrar a mi cuenta por favor,consulta_banca,es
I need the status of my shipment,seguimiento_pedido,en
necesito una consulta de pediatria por favor,consultar_medicina,es
i want to book a buotique hotel in miami 🍕,reservar_hotel,en
Cuanto tengo disponible en mi cuenta de ahorros? 😀,consulta_banca,es
Do you have roosm available in Cancun this weekend?,reservar_hotel,en
how much is a large margherit pizza?,comprar_pizza,en
"no puedo actualizar la app, me sale error",soporte_tecnico,es
"gracias, hasta la proxima",despedida,es
Cual es el saldo de mi cuenta?,consulta_banca,es
"Me antojo una pepperoni, tienen promo?",comprar_pizza,es
onde esta o meu pedido?,seguimiento_pedido,pt
"quiero constituir mi startup, que tramites necesito? gracias",constituir_empresa,es
"hi, is anyone there? 🙏",saludo,en
"Ok gracias, bye",despedida,es
que dosis de amoxicilina debo tomar?,consultar_medicina,es
my account is blocked 😊,soporte_tecnico,en
Minha conta nao funciona,soporte_tecnico,pt
necesito una consulta de odontologia urgente,agendar_cita_medica,es
El sistema me da error al cargar la pagina ❤️,soporte_tecnico,es
i need the status of my shipment 😊,seguimiento_pedido,en
"i want to file a complaint, the phone arrived damaged",reclamo,en
hay vuelos a piura pa el sabao? urgente,comprar_vuelo,es
que dosis de loratadina debo tomar? gracias,consultar_medicina,es
no me deja iniciar sesion en mi cuetna,consulta_banca,es
"tengo nauseas desde ayer, que hago? hola",consultar_medicina,es
i cant log into my account please,consulta_banca,en
cuanto tengo dipsonible en mi cuenta de ahorros?,consulta_banca,es
"hola, buenos dias 🙌",saludo,es
Quero reservar um resort em Bogota,reservar_hotel,pt
cuanto cuesta la pizza pepperoni familiar?,comprar_pizza,es
How much is a double room in Bogota? asap,reservar_hotel,en
necesito una consulta de dermatologia ❤️,consultar_medicina,es
"thanks, ese you later",despedida,en
"pizza napolitana para llevar, cuanto seria?",comprar_pizza,es
Tienen pizza americana? quierro pedir una ❤️,comprar_pizza,es
mi cuenta esta bloqueada urgente,soporte_tecnico,es
minha conta esta bloqueada por favor,consulta_banca,pt
quiero una consulta de oftalmologia para mi hijo,consultar_medicina,es
"Consulta de cardiologia, cuanto seria? 🍕",consultar_medicina,es
Quiero una consulta de ginecologia pa mi hijo,consultar_medicina,es
"No puedo actualizar la app, me sale error",soporte_tecnico,es
cuanto falta para q llegue mi compra?,seguimiento_pedido,es
"Obrigado pela ajuda, adeus 😊",despedida,pt
No me deja iniciar sesion en mi cuenta gracias,consulta_banca,es
cuanto cuesta una consulta de oftalmologia? por favor,agendar_cita_medica,es
necesito un resort para 3 noches en medellin,reservar_hotel,es
"Ok muito obrigado, tchau",despedida,pt
No me deja iniciar sesion en mi cuenta,soporte_tecnico,es
"me duele mucho, tengo tos seca, q medicamento tomo?",consultar_medicina,es
ya pague pero no se cuando llega mi pedido,seguimiento_pedido,es
Hola que tal,saludo,es
How do I block my credit card? asap,consulta_banca,en
"eso seria todo, gracia y chau",despedida,es
que medicina puedo tomar pa dolor de cabeza? gracias 🙏,consultar_medicina,es
cuanto falta para que llegue mi compra?,seguimiento_pedido,es
que remedio posso tomar para febre alta?,consultar_medicina,pt
necesito ayuda para formaizar mi negocio urgente,constituir_empresa,es
how much is a large bbq chicken pizza?,comprar_pizza,en
el boton de pago no reesponde en la web gracias,soporte_tecnico,es
cuanto cuesta una consullta de odontologia?,consultar_medicina,es
ncesito una consulta de ginecologia hola,agendar_cita_medica,es
Olvide mi contrasena y no puedo recuperarla,soporte_tecnico,es
"pseimo servicio, quiero hablar con un supervisor",reclamo,es
Cuanto cuesta una habitacion doble en Lima?,reservar_hotel,es
"gracias, hasta luego por favor",despedida,es
quero comprar uma passagem para lima urgente,comprar_vuelo,pt
i want to book a resort in bogota,reservar_hotel,en
nao recebo o codigo de verificacao 😊,soporte_tecnico,pt
"i have the flu, what do you recomend? thanks",consultar_medicina,en
Me manda una pizza de peperoni a Lima? gracias 🏨,comprar_pizza,es
"gracias, hasta la proxima porfa 🏨",despedida,es
quisiera ordenar dos pizzas pepperoni,comprar_pizza,es
"Perfecto, nos vemos",despedida,es
No puedo entrar a mi cuenta porfa,consulta_banca,es
i want 2 track my order number 4821,seguimiento_pedido,en
"estoy muy molesto, el servicio fue pesimo",reclamo,es
Deseo comprar dos boletos a Santiago,comprar_vuelo,es
gostaria de agendar uma consulta de ginecologia em brasilia,agendar_cita_medica,pt
Que documentos piden pa constituir una EIRL?,constituir_empresa,es
Gostaria de fazer uma reseerva em um resort,reservar_hotel,pt
"Im very upset, the service was terrible",reclamo,en
Cuanto cuesta una habitacion doble en Ciudad de Mexico?,reservar_hotel,es
no puedo acceder a mi cuenta,consulta_banca,es
Me pueden dar el tracking de mi orden? 🍕,seguimiento_pedido,es
Preciso do status do meu envio urgente,seguimiento_pedido,pt
"consulta de oftalmologia, cuanto seria?",agendar_cita_medica,es
"gracias por la ayuda, adios 🙏",despedida,es
cotizame un vuelo a medellin en latm,comprar_vuelo,es
no me deja iniciar sesion en mi cuenta,soporte_tecnico,es
Necesito una consulta de oftalmologia,consultar_medicina,es
deseo una pizza pepperoni grande con extra queso urgente 👍,comprar_pizza,es
cuando lega mi pedido de el teclado? 👍,seguimiento_pedido,es
"ok muchas gracias, chau urgente",despedida,es
M manda una pizza vegetariana a Cusco?,comprar_pizza,es
cuando llega mi pedido de la impresora?,seguimiento_pedido,es
cotizame un vuelo a cusco en jetsmart gracias 😀,comprar_vuelo,es
"Helllo, how is it going? thanks",saludo,en
"la aplicacion esta muy lenta, no carga",soporte_tecnico,es
necesito el estado de mi envio urgente ✈️,seguimiento_pedido,es
Como registro una SRL en Santiago?,constituir_empresa,es
can you deliver a veggie pizza to bogota?,comprar_pizza,en
"el audifono que compre no funciona, exijo soolucion",reclamo,es
"Perfecto, nos vemos 😊",despedida,es
No me llega el codigo de verificacion,soporte_tecnico,es
me pueden asesorar para constituir mi strtup en arequipa?,constituir_empresa,es
Gostaria de uma pizza vegetariana,comprar_pizza,pt
"quiero un reemoblso, el audifono vino defectuoso",reclamo,es
"necesito ver a un especialista en pediatria, hay citas?",agendar_cita_medica,es
Cuantas veces al dia debo tomar paracetamol? 🙌,consultar_medicina,es
me pueden dar hora con el doctor de pediatria? 😀,agendar_cita_medica,es
quanto custa um voo para sao paulo com gol?,comprar_vuelo,pt
hola buenos dias ✈️,saludo,es
"buenas, un gusto saludarlos ❤️",saludo,es
hey hola urgente,saludo,es
"the laptop i bought doesnt work, i demand a solution",reclamo,en
Me consigues un pasaje a Arequipa para manana?,comprar_vuelo,es
no puedo entrar a mi cuenta porfa,consulta_banca,es
mi pedido nunca llego y quieor reclamar gracias 👍,reclamo,es
"hi, is anyone there?",saludo,en
"good afternoon, how are you? thanks ✈️",saludo,en
quisiera reservar un vuelo con latam a piura,comprar_vuelo,es
Que dosis de amoxicilina debo tomar? gracias,consultar_medicina,es
quiero consultar los movimientos de mi cuenta gracias,consulta_banca,es
no puedo acceder a mi cuenta,soporte_tecnico,es
"buenas, un gusto saludarlos 😊",saludo,es
quiero una consulta de pediatria para mi hijo,consultar_medicina,es
"i want to set up an llc, what do i need? 🏨",constituir_empresa,en
deseo una pizza vegetariana grande con extra queso 🙌,comprar_pizza,es
no puedo transferir dinero desde mi cuenta hola,consulta_banca,es
i need a round trip flight to new york,comprar_vuelo,en
me consigues un pasaje a cusco para mnaana?,comprar_vuelo,es
I want to submit a formal complaint about my order,reclamo,en
Busco un hotel cerca del centro economico en Ciudad de Mexico,reservar_hotel,es
cuanto cuesta la pizza napolitana familiar? gracias,comprar_pizza,es
What can I take if I have a stomach ache? thanks,consultar_medicina,en
Mi cuenta me da error gracias,soporte_tecnico,es
"mi pedido dice en camino hace 3 dias, qque paso?",seguimiento_pedido,es
"necesito ver a un especialista en oftalmologia, hay citas?",agendar_cita_medica,es
quiero saber el limite de mi tarjeta,consulta_banca,es
cuanto cuesta una consulta de pediatria? urgente,agendar_cita_medica,es
Necesito un hotel cerca del centro para 3 noches en Bogota ❤️,reservar_hotel,es
bsco un resort economico en lima gracias,reservar_hotel,es
Cuanto cuesta un pasaje a Trujillo con JetSmart? 🙏,comprar_vuelo,es
Quieo reservar un hostal en Bogota,reservar_hotel,es
Deseo comprar dos boletos a Quito,comprar_vuelo,es
me pueden dar hora con el doctor de cardiologia?,agendar_cita_medica,es
Me manda una pizza vegetariana a Quito? 🙏,comprar_pizza,es
cuanto tengo disponible en mi cuenta de ahorros? por favor,consulta_banca,es
que dosis de ibuprofen debo tomar?,consultar_medicina,es
"Gracias, hasta luego",despedida,es
Ya pague pero no se cuando llega mi pedido,seguimiento_pedido,es
Quiero comprar un vuelo a Lima,comprar_vuelo,es
a que hora atienden en oftalmologia? quiero sacar cita por favor,agendar_cita_medica,es
como registro mi startup en bogota?,constituir_empresa,es
"Hola, como va todo? 😀",saludo,es
preciso de uma consulta de ginecologia esta semana,agendar_cita_medica,pt
Deseo comprar dos boletos a Arequipa,comprar_vuelo,es
tienen habitaciones disponibles en trujillo pa el finde?,reservar_hotel,es
can i get a bbq chicken pizza with extra cheese? lpease 🙌,comprar_pizza,en
quisiera reservar un vuelo con jetsmart a quito,comprar_vuelo,es
gostaria de uma pizza quatro queijos,comprar_pizza,pt
"Buenas, hay alguuien?",saludo,es
hola uqe tal,saludo,es
Como registro una EIRL en Lima? 👍,constituir_empresa,es
Mi pedido nunca llego y quiero reclamar,reclamo,es
gostaria de fazer uma reserva em um hotel 4 estrelas,reservar_hotel,pt
no puedo transfreir dinero desde mi cuenta,consulta_banca,es
necesito ayuda ppa formalizar una empresa de servicios,constituir_empresa,es
"Thanks, see u later",despedida,en
es seguro tomar paracetamol para tos seca?,consultar_medicina,es
quiero formalizar mi negocio y sacar ruc para mi startup,constituir_empresa,es
"que tal, buen dia 👍",saludo,es
Me manda una pizza de peperoni a Piura?,comprar_pizza,es
can you deliver a pepperoni pizza to madrid?,comprar_pizza,en
When does my the tv order arrive?,seguimiento_pedido,en
can i get a hawaiian pizza with extra cheese? asap,comprar_pizza,en
how much is a gynecology consultation? 🙏,consultar_medicina,en
como solicito un aumento de linea de redito?,consulta_banca,es
How do I block my credit card?,consulta_banca,en
Quiero una consulta de oftalmologia para mi hijo,agendar_cita_medica,es
Cuanto cuesta un pasaje a Bogota con JetSmart?,comprar_vuelo,es
"hola, buenoss dias",saludo,es
"obrigado pela ajuda, adeus",despedida,pt
i forgot my password and cant reset it,soporte_tecnico,en
"Ok gracias, bye por favor",despedida,es
cuantas veces al dia debo tomar omeprazol? porfa,consultar_medicina,es
quiero agendar una cita con dermatologia 👍,agendar_cita_medica,es
necesito una consulta de ginecologia,agendar_cita_medica,es
what documents are required to register a company?,constituir_empresa,en
